Country,Year,"Total population",Continent,"GDP_per_capita",Per_capita_mismanaged_plastic_waste
Albania,2010,2948000,Europe,9927.181841,0.032
Algeria,2010,35977000,Africa,12870.6027,0.086
Angola,2010,23356000,Africa,5897.682841,0.045
Antigua and Barbuda,2010,88000,North America,19212.72013,0.051
Argentina,2010,40896000,South America,18712.06308,0.026
Australia,2010,22155000,Oceania,41464.04007,0.002
Bahamas,2010,355000,North America,29221.99118,0.011
Bahrain,2010,1241000,Asia,40570.53569,0.016
Bangladesh,2010,147575008,Asia,2442.728888,0.03
Barbados,2010,282000,North America,16417.96245,0.034
Belgium,2010,10939000,Europe,41085.91894,0.002
Belize,2010,322000,North America,7876.809586,0.053
Benin,2010,9199000,Africa,1818.778461,0.036
Bermuda,2010,65000,North America,56395.0078,0.005
Bosnia and Herzegovina,2010,3705000,Europe,9720.342177,0.061
Brazil,2010,195714000,South America,14537.56719,0.017
Brunei,2010,389000,Asia,80552.86447,0.001
Bulgaria,2010,7425000,Europe,15283.29148,0.051
Cambodia,2010,14312000,Asia,2522.926825,0.058
Cameroon,2010,20341000,Africa,2929.829113,0.038
Canada,2010,34148000,North America,40699.35513,0.002
Cape Verde,2010,493000,Africa,5828.241588,0.049
Chile,2010,17063000,South America,19442.05032,0.011
China,2010,1368811008,Asia,9525.818483,0.092
Colombia,2010,45223000,South America,10900.50528,0.034
Comoros,2010,690000,Africa,1412.502687,0.169
Congo,2010,4274000,Africa,5186.344788,0.054
Costa Rica,2010,4577000,North America,12999.99219,0.047
Cote d'Ivoire,2010,20533000,Africa,2690.258002,0.086
Croatia,2010,4328000,Europe,20171.95753,0.028
Cyprus,2010,1113000,Europe,33941.13802,0.006
Democratic Republic of Congo,2010,64564000,Africa,660.2109558,0.039
Denmark,2010,5555000,Europe,43998.43667,0.001
Dominica,2010,71000,North America,10198.27337,0.031
Dominican Republic,2010,9695000,North America,11132.55269,0.039
Ecuador,2010,15011000,South America,9352.344237,0.047
Egypt,2010,82761000,Africa,9857.468282,0.122
El Salvador,2010,6184000,North America,6300.775388,0.051
Equatorial Guinea,2010,944000,Africa,33723.3658,0.047
Eritrea,2010,3170000,Africa,1416.365802,0.035
Estonia,2010,1332000,Europe,22740.972,0.019
Fiji,2010,860000,Oceania,7352.08836,0.151
Finland,2010,5366000,Europe,39848.1345,0.005
France,2010,62880000,Europe,36855.84468,0.004
Gabon,2010,1624000,Africa,15355.78465,0.019
Gambia,2010,1793000,Africa,1644.242366,0.041
Georgia,2010,4099000,Asia,6733.783761,0.035
Germany,2010,80827000,Europe,40428.72103,0.01
Ghana,2010,24780000,Africa,3059.383626,0.032
Greece,2010,10888000,Europe,28726.07928,0.004
Grenada,2010,106000,North America,11177.99972,0.064
Guatemala,2010,14630000,North America,6714.063596,0.105
Guinea,2010,10192000,Africa,1573.544958,0.025
Guinea-Bissau,2010,1523000,Africa,1400.363293,0.046
Guyana,2010,749000,South America,5847.857255,0.224
Haiti,2010,9949000,North America,1502.032711,0.044
Honduras,2010,8317000,North America,3971.182994,0.079
Hong Kong,2010,6966000,Asia,48107.70863,0.01
Iceland,2010,320000,Europe,38978.0056,0.006
India,2010,1234280960,Asia,4404.697005,0.009
Indonesia,2010,241834000,Asia,8433.497357,0.047
Iran,2010,73763000,Asia,17942.83284,0.074
Iraq,2010,29742000,Asia,12717.59753,0.067
Ireland,2010,4554000,Europe,44030.41415,0.009
Israel,2010,7346000,Asia,29743.00587,0.008
Italy,2010,59325000,Europe,36201.16157,0.003
Jamaica,2010,2810000,North America,7996.019488,0.01
Japan,2010,128542000,Asia,35749.75668,0.003
Jordan,2010,7262000,Asia,9472.768326,0.086
Kenya,2010,42031000,Africa,2476.010742,0.023
Kiribati,2010,103000,Oceania,1731.538627,0.088
Kuwait,2010,2992000,Asia,75204.14512,0.014
Latvia,2010,2119000,Europe,18251.95328,0.02
Lebanon,2010,4953000,Asia,16451.75983,0.034
Liberia,2010,3891000,Africa,699.6537215,0.072
Libya,2010,6198000,Africa,29630.22215,0.036
Lithuania,2010,3124000,Europe,21070.63433,0.021
Madagascar,2010,21152000,Africa,1385.685072,0.013
Malaysia,2010,28208000,Asia,21107.26794,0.112
Maldives,2010,366000,Asia,12005.50462,0.22
Malta,2010,414000,Europe,28364.79932,0.018
Marshall Islands,2010,56000,Oceania,3479.155303,0.15
Mauritania,2010,3494000,Africa,3316.97478,0.038
Mauritius,2010,1248000,Africa,15938.41921,0.122
Mexico,2010,114093000,North America,15715.97214,0.012
Micronesia (country),2010,103000,Oceania,3297.656934,0.085
Montenegro,2010,624000,Europe,14034.58456,0.046
Morocco,2010,32343000,Africa,6443.253613,0.049
Mozambique,2010,23532000,Africa,917.763832,0.013
Myanmar,2010,50601000,Asia,3721.21144,0.066
Namibia,2010,2119000,Africa,8460.847368,0.097
Nauru,2010,10000,Oceania,6592.436836,0.099
Netherlands,2010,16683000,Europe,45524.66214,0.008
New Zealand,2010,4370000,Oceania,32119.21554,0.007
Nicaragua,2010,5824000,North America,4028.712087,0.066
Nigeria,2010,158503008,Africa,5150.158818,0.085
Norway,2010,4886000,Europe,62350.41071,0.006
Oman,2010,3041000,Asia,45335.85252,0.005
Pakistan,2010,179424992,Asia,4283.607312,0.09
Palau,2010,18000,Oceania,11846.57393,0.084
Panama,2010,3643000,North America,15628.59224,0.029
Papua New Guinea,2010,7311000,Oceania,3191.58041,0.09
Peru,2010,29028000,South America,9956.556637,0.039
Philippines,2010,93967000,Asia,5596.837288,0.062
Poland,2010,38330000,Europe,21770.64444,0.013
Portugal,2010,10596000,Europe,27238.46067,0.005
Puerto Rico,2010,3580000,North America,33924.05401,0.011
Qatar,2010,1856000,Asia,125140.8383,0.003
Romania,2010,20472000,Europe,17553.2833,0.011
Russia,2010,143479008,Asia,23107.78522,0.02
Saint Kitts and Nevis,2010,49000,North America,21412.20145,0.054
Saint Lucia,2010,174000,North America,12123.83514,0.113
Saint Vincent and the Grenadines,2010,108000,North America,9915.577619,0.051
Samoa,2010,186000,Oceania,5399.893096,0.084
Sao Tome and Principe,2010,180000,Africa,2641.513948,0.085
Saudi Arabia,2010,27421000,Africa,45421.22848,0.016
Senegal,2010,12678000,Africa,2183.995051,0.086
Seychelles,2010,91000,Africa,20365.11893,0.139
