Country,Code,Year,"Total_population","GDP_per_capita",Per_capita_plastic_waste,Continent
Albania,ALB,2010,2948000,9927.181841,0.069,Europe
Algeria,DZA,2010,35977000,12870.6027,0.144,Africa
Angola,AGO,2010,23356000,5897.682841,0.062,Africa
Antigua and Barbuda,ATG,2010,88000,19212.72013,0.66,North America
Argentina,ARG,2010,40896000,18712.06308,0.183,South America
Australia,AUS,2010,22155000,41464.04007,0.112,Oceania
Bahamas,BHS,2010,355000,29221.99118,0.39,North America
Bahrain,BHR,2010,1241000,40570.53569,0.132,Asia
Bangladesh,BGD,2010,147575008,2442.728888,0.034,Asia
Barbados,BRB,2010,282000,16417.96245,0.57,North America
Belgium,BEL,2010,10939000,41085.91894,0.08,Europe
Belize,BLZ,2010,322000,7876.809586,0.172,North America
Benin,BEN,2010,9199000,1818.778461,0.043,Africa
Bermuda,BMU,2010,65000,56395.0078,0.252,North America
Bosnia and Herzegovina,BIH,2010,3705000,9720.342177,0.144,Europe
Brazil,BRA,2010,195714000,14537.56719,0.165,South America
Brunei,BRN,2010,389000,80552.86447,0.026,Asia
Bulgaria,BGR,2010,7425000,15283.29148,0.154,Europe
Cambodia,KHM,2010,14312000,2522.926825,0.066,Asia
Cameroon,CMR,2010,20341000,2929.829113,0.046,Africa
Canada,CAN,2010,34148000,40699.35513,0.093,North America
Cape Verde,CPV,2010,493000,5828.241588,0.065,Africa
Chile,CHL,2010,17063000,19442.05032,0.119,South America
China,CHN,2010,1368811008,9525.818483,0.121,Asia
Colombia,COL,2010,45223000,10900.50528,0.144,South America
Comoros,COM,2010,690000,1412.502687,0.201,Africa
Congo,COG,2010,4274000,5186.344788,0.069,Africa
Costa Rica,CRI,2010,4577000,12999.99219,0.258,North America
Cote d'Ivoire,CIV,2010,20533000,2690.258002,0.103,Africa
Croatia,HRV,2010,4328000,20171.95753,0.252,Europe
Cyprus,CYP,2010,1113000,33941.13802,0.248,Europe
Democratic Republic of Congo,COD,2010,64564000,660.2109558,0.045,Africa
Denmark,DNK,2010,5555000,43998.43667,0.047,Europe
Dominica,DMA,2010,71000,10198.27337,0.149,North America
Dominican Republic,DOM,2010,9695000,11132.55269,0.144,North America
Ecuador,ECU,2010,15011000,9352.344237,0.147,South America
Egypt,EGY,2010,82761000,9857.468282,0.178,Africa
El Salvador,SLV,2010,6184000,6300.775388,0.147,North America
Equatorial Guinea,GNQ,2010,944000,33723.3658,0.144,Africa
Eritrea,ERI,2010,3170000,1416.365802,0.045,Africa
Estonia,EST,2010,1332000,22740.972,0.176,Europe
Fiji,FJI,2010,860000,7352.08836,0.189,Oceania
Finland,FIN,2010,5366000,39848.1345,0.234,Europe
France,FRA,2010,62880000,36855.84468,0.192,Europe
